date,max_temp,min_temp
2026-07-31,27.5,20.6
2026-08-01,26.5,20.7
2026-08-02,25.9,21.2
2026-08-03,25.1,21.2
2026-08-04,24.7,21.2
2026-08-05,27.6,20.7
2026-08-06,27.4,19.8
2026-08-07,27.5,19.6
